MPN,Value,Description,Manufacturer,UnitCost,Stock,Supplier,Date,PurchaseURL
,WHITE,6.5mm White 100pcs Davies 1900h Knob Clone Guitar Effect Pedal Knob 1/4 Shaft Set Screw for Amplifier Amp Boss Volume Control,OHello Music,39.4000,,aliexpress,"Aug 29, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8192180411549074
2N5457,2N5484,20pcs 2N5457 5457 TO-92 2N5457 2N5460 2N5485 2N7000 2N5484 2N5486 2N6517 Transistor General Purpose new original,Bo rui electronics,2.6000,,aliexpress,"May 17, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8188559326299074
,,100pcs/lot 9V Battery Connector Snap Clip T Style Cable Wire Lead Holder Adapter 150mm,YUNSHUO Official,8.0800,,aliexpress,"Jun 10, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8189961116629074
,1000pcs,Ultra brightness 5mm WHITE dip led without fringe 3.0-3.5V FLAT TOP DIP LED free shipping,Shop121968,31.0500,,aliexpress,"Jun 25, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8016022883529074
3362P,20K Ohm,100pcs 3362P 101 201 102 104 202 502 103 203 503 104 204 504 105 Trimpo Trimmer Potentiometer 3362 2m 1K 2K 5K 10K 20K 50K 100K,Shop1927055,12.8200,,aliexpress,"Apr 23, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8200548121159074
,"White, M3, 11mm",500pcs M3 Black White Hex Nylon Standoff Spacer Column Flat Head Nylon Plastic Spacing Screw Nylon Standoff,Xin Yu,10.9500,,aliexpress,"Dec 13, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8159339156279074
,5x2,1000pcs 5*2 5x2 5*3 5x3 5x4 5*4 OD*L 5mm Black Two Pit 2 Groove Round LED PCB Mount Support Pillar Isolation Column Hood Spacer,ABC,8.0500,,aliexpress,"Jun 29, 2021",https://www.aliexpress.com/p/order/detail.html?orderId=8134629787519074
,,free shipping 2PCS small mini size 2004 20*4 lcd display 77*47mm Blue 5v 2004E instead WH2004D PC2004-C,Laurellcd Module factory,10.4400,,aliexpress,"Mar 23, 2021",https://www.aliexpress.com/p/order/detail.html?orderId=8128176321009074
,,500pcs/lot M3*11+6 Nylon Hex Standoff Spacer M3 Male x M3 Female 11mm Length Metric Thread,Xin Yu,6.9800,,aliexpress,"Apr 28, 2021",https://www.aliexpress.com/p/order/detail.html?orderId=8130761340519074
,,M3*11 black 1 pcs Nylon 11mm Hex Female-Female Standoff Spacer Threaded Hexagonal Spacer Plastic Standoff Spacer high-quality,HONGXIN Electronics,0.0400,,aliexpress,"Apr 7, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8012503838309074
